"Name","Learning Rate","MC Task Weight","Epoch","Batch Size","MC Loss","LM Loss"
"sweep-run","0.000051790419752351344","0.04939376544791715","2","8","1.2804","4.3287"
"sweep-run","0.00004152460385279304","0.04759785923483332","2","8","1.2951","4.3339"
"sweep-run","0.000044104526614660865","0.02668699776698686","2","8","1.3102","4.3351"
"sweep-run","0.0000616214320084246","0.0051356036251252474","2","8","1.3154","4.3364"
"sweep-run","0.000046626928045629586","0.007360740036366526","2","8","1.3241","4.3367"
"sweep-run","0.00002962982427940185","0.02231472204887444","2","4","1.319","4.3451"
"sweep-run","0.00005861232454243364","0.014708224925569238","2","4","1.2968","4.3544"
"sweep-run","0.000054634523653136545","0.04196727387726432","1","4","1.3124","4.3571"
"sweep-run","0.0001275418779627615","0.01954017978001211","1","8","1.3133","4.3706"
"sweep-run","0.00008298314742620159","0.03659718551357859","1","8","1.3181","4.3762"
"sweep-run","0.00007549062701142531","0.02204014042562217","3","8","1.2633","4.4274"
"sweep-run","0.00008659113499948014","0.0224350354190913","3","8","1.2549","4.4661"
"sweep-run","0.00009432131565210366","0.0229403934944837","3","8","1.262","4.4974"
"sweep-run","0.0008321295091327159","0.011086011178718628","1","4","1.3276","5.1287"
"sweep-run","0.001485110779402993","0.00794133072004647","1","4","1.3417","5.9006"
"sweep-run","0.0001262266443300401","46.872600397565805","2","8","1.334","7.0459"
